Station Number,Station Name,Province,Status,Latitude,Longitude,Year From,Year To,Gross Drainage Area (km2),Effective Drainage Area (km2),Regulation,Data Type,Operation Schedule,Sediment,RHBN,Real-Time,Datum Name,Publishing Office,Operating Agency,Contributed
05AA001,OLDMAN RIVER NEAR COWLEY,AB,Discontinued,49.60639,-114.04528,1908,1949,1940,1940,N,Flow,Seasonal,N,N,N,,CALGARY,,N
05AA002,CROWSNEST RIVER NEAR LUNDBRECK,AB,Discontinued,49.59444,-114.17083,1911,1931,676,658,N,Flow,Continuous,N,N,N,,CALGARY,,N
05AA003,CASTLE RIVER NEAR COWLEY,AB,Discontinued,49.53333,-114.03333,1911,1931,1120,1120,N,Flow,Continuous,N,N,N,,CALGARY,,N
05AA004,PINCHER CREEK AT PINCHER CREEK,AB,Active,49.4864,-113.94769,1910,2022,158,158,N,Flow and Level,Seasonal,Y,N,Y,ASSUMED DATUM,CALGARY,,N
05AA005,COW CREEK NEAR COWLEY,AB,Discontinued,49.655,-114.15722,1909,1916,82.1,82.1,N,Flow,Seasonal,N,N,N,,CALGARY,,N
05AA006,TODD CREEK AT ELTON'S RANCH,AB,Discontinued,49.65667,-114.12556,1909,1993,144,144,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,,N
05AA007,CONNELLY CREEK NEAR LUNDBRECK,AB,Discontinued,49.59722,-114.1375,1910,1919,51.5,51.5,N,Flow,Miscellaneous,N,N,N,,CALGARY,,N
05AA008,CROWSNEST RIVER AT FRANK,AB,Active,49.59732,-114.41064,1911,2022,403,403,N,Flow and Level,Continuous,Y,Y,Y,ASSUMED DATUM,CALGARY,,N
05AA009,CROWSNEST RIVER NEAR COLEMAN,AB,Discontinued,49.63056,-114.56472,1911,1920,167,167,,Flow,Continuous,N,N,N,,CALGARY,,N
05AA010,BEAVER MINES CREEK NEAR BEAVER MINES,AB,Discontinued,49.475,-114.15833,1909,1919,62.4,62.4,N,Flow,Miscellaneous,Y,N,N,,CALGARY,,N
05AA011,MILL CREEK NEAR THE MOUTH,AB,Active,49.46951,-114.13424,1910,2022,179,179,N,Flow and Level,Seasonal,Y,N,Y,ASSUMED DATUM,CALGARY,,N
05AA012,SUMMIT CREEK AT CROWSNEST,AB,Discontinued,49.63028,-114.69194,1912,1915,12.7,12.7,N,Flow,Miscellaneous,N,N,N,,CALGARY,,N
05AA013,MCGILLIVRAY CREEK NEAR COLEMAN,AB,Discontinued,49.63444,-114.52,1913,1986,32.6,32.6,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,,N
05AA014,ELTON DITCH BELOW TODD CREEK,AB,Discontinued,49.66667,-114.13333,1914,1916,,,R,Flow,Seasonal,N,N,N,,CALGARY,,N
05AA015,CASTLE RIVER AT MCDONALD'S RANCH,AB,Discontinued,49.5,-114.27222,1916,1945,757,757,N,Flow,Seasonal,N,N,N,,CALGARY,,N
05AA016,CARBONDALE CREEK AT EVAN'S RANCH,AB,Discontinued,49.47222,-114.31667,1916,1916,311,311,N,Flow,Seasonal,N,N,N,,CALGARY,,N
05AA018,ALLISON CREEK NEAR SENTINEL,AB,Discontinued,49.63194,-114.58611,1909,1976,47.7,47.7,N,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,CALGARY,,N
05AA020,BLAIRMORE CREEK NEAR BLAIRMORE,AB,Discontinued,49.63333,-114.46667,1907,1923,47.9,47.9,,Flow,Miscellaneous,N,N,N,,CALGARY,,N
05AA021,OLDMAN RIVER AT THE GAP,AB,Discontinued,49.86806,-114.35972,1944,1949,1200,1200,N,Flow,Seasonal,N,N,N,,CALGARY,,N
05AA022,CASTLE RIVER NEAR BEAVER MINES,AB,Active,49.48866,-114.14438,1945,2022,821,821,N,Flow and Level,Continuous,Y,N,Y,ASSUMED DATUM,CALGARY,,N
05AA023,OLDMAN RIVER NEAR WALDRON'S CORNER,AB,Discontinued,49.81389,-114.18333,1949,2008,1450,1450,N,Flow,Continuous,Y,N,N,ASSUMED DATUM,CALGARY,,N
05AA024,OLDMAN RIVER NEAR BROCKET,AB,Active,49.55781,-113.82272,1966,2022,4400,4380,R,Flow and Level,Continuous,Y,N,Y,ASSUMED DATUM,CALGARY,,N
05AA025,SNOWFENCE CREEK AT PLATEAU MOUNTAIN,AB,Discontinued,50.21,-114.54444,1966,1967,0.04,0.04,N,Flow,Seasonal,N,N,N,,CALGARY,,N
05AA026,DUTCH CREEK NEAR THE MOUTH,AB,Discontinued,49.90167,-114.43028,1966,1995,143,143,N,Flow,Seasonal,Y,N,N,ASSUMED DATUM,CALGARY,,N
05AA027,RACEHORSE CREEK NEAR THE MOUTH,AB,Active,49.83779,-114.42059,1966,2022,218,218,N,Flow and Level,Seasonal,Y,N,Y,ASSUMED DATUM,CALGARY,,N
05AA028,CASTLE RIVER AT RANGER STATION,AB,Active,49.39745,-114.3399,1967,2022,375,375,N,Flow and Level,Seasonal,Y,N,Y,ASSUMED DATUM,CALGARY,,N
05AA029,CALLUM CREEK AT WALDRON'S RANCH,AB,Discontinued,49.82694,-114.13222,1974,1974,189,189,N,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,CALGARY,,N
05AA030,GOLD CREEK NEAR FRANK,AB,Active,49.60185,-114.40054,1975,2022,63.3,63.3,N,Flow and Level,Seasonal,N,N,Y,ASSUMED DATUM,CALGARY,,N
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,AB,Active,49.61204,-114.05328,1992,2022,4380,4360,R,Level,Continuous,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,CALGARY,,N
05AA033,KETTLES CREEK AT PINCHER CREEK,AB,Active,49.49232,-113.92651,2005,2022,38.4,36.9,N,Flow and Level,Seasonal,N,N,Y,ASSUMED DATUM,CALGARY,,N
05AA034,PINCHER CREEK AT FRONT RANGE ROAD,AB,Active,49.30934,-114.0751,2005,2022,24,24,,Flow and Level,Seasonal,N,N,Y,ASSUMED DATUM,CALGARY,,N
05AA035,OLDMAN RIVER AT RANGE ROAD NO. 13A,AB,Active,49.72769,-114.08649,2009,2022,1830,1830,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,CALGARY,,N
05AA909,TODD CREEK NEAR HIGHWAY NO.22,AB,Active,49.76328,-114.2381,1982,2022,74,74,N,Flow and Level,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,,N
05AAX08,CROWSNEST RIVER AT FRANK (PROJECT),AB,Active,49.59732,-114.41064,2021,2022,403,403,,Flow and Level,Continuous,N,N,N,ASSUMED DATUM,CALGARY,,N
05AB002,WILLOW CREEK NEAR NOLAN,AB,Discontinued,49.79389,-113.53694,1909,1999,2290,2080,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,,N
05AB005,TROUT CREEK NEAR GRANUM,AB,Active,49.97735,-113.68603,1908,2022,441,441,N,Flow and Level,Seasonal,Y,Y,Y,ASSUMED DATUM,CALGARY,,N
05AB006,MEADOW CREEK AT HART'S RANCH,AB,Discontinued,49.93333,-113.75,1908,1923,102,102,N,Flow,Seasonal,N,N,N,,CALGARY,,N
05AB007,OLDMAN RIVER NEAR FORT MACLEOD,AB,Discontinued,49.71667,-113.45,1911,1948,5760,5680,R,Flow,Continuous,N,N,N,,CALGARY,,N
05AB011,MUD LAKE NEAR FORT MACLEOD,AB,Discontinued,49.74278,-113.53111,1918,1974,,,R,Level,Seasonal,N,N,N,ASSUMED DATUM NO. 2,CALGARY,,N
05AB012,OLDMAN RIVER AT CANAL INTAKE,AB,Discontinued,49.65,-113.6,1920,1922,5590,5550,N,Level,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,,N
05AB013,BEAVER CREEK NEAR BROCKET,AB,Active,49.63938,-113.7953,1921,2022,256,256,N,Flow and Level,Seasonal,Y,N,N,ASSUMED DATUM,CALGARY,,N
05AB014,FIVE MILE CREEK NEAR SPRING POINT,AB,Discontinued,49.73222,-113.85167,1922,1923,53.1,53.1,N,Flow,Seasonal,N,N,N,,CALGARY,,N
