MonthDay,mean,sd1,sd1low,sd2,sd2low,Block,MonthDayYear
06-01,406.05,523.1830664806395,288.91693351936055,640.3161329612789,171.78386703872116,2000-2020,2000-06-01
06-02,418.35,542.2936523076855,294.40634769231457,666.2373046153709,170.46269538462911,2000-2020,2000-06-02
06-03,429.25,555.6365728211414,302.86342717885856,682.0231456422829,176.47685435771714,2000-2020,2000-06-03
06-04,437.1,562.2663734899737,311.9336265100264,687.4327469799473,186.76725302005272,2000-2020,2000-06-04
06-05,450.6,572.5294014886009,328.67059851139913,694.4588029772017,206.7411970227983,2000-2020,2000-06-05
06-06,478,602.6274448105232,353.3725551894768,727.2548896210463,228.74511037895365,2000-2020,2000-06-06
06-07,490.35,629.3268155598548,351.3731844401452,768.3036311197095,212.39636888029048,2000-2020,2000-06-07
06-08,490.2,631.6777646654655,348.7222353345345,773.155529330931,207.24447066906896,2000-2020,2000-06-08
06-09,495.9,644.244513672876,347.55548632712396,792.589027345752,199.21097265424794,2000-2020,2000-06-09
06-10,500.25,652.39151134284225,348.10848865715775,804.5330226856845,195.96697731431544,2000-2020,2000-06-10
06-11,494,638.539559327287,349.46044067271305,783.0791186545739,204.92088134542604,2000-2020,2000-06-11
06-12,487.8,621.4029467056062,354.1970532943938,755.0058934112124,220.5941065887876,2000-2020,2000-06-12
06-13,485.8,605.907232789791,365.692767210209,726.0144655795821,245.58553442041796,2000-2020,2000-06-13
06-14,492.95,604.8886462590815,381.0113537409185,716.8272925181631,269.0727074818369,2000-2020,2000-06-14
06-15,492.85,604.6488207262915,381.0511792737085,716.4476414525831,269.252358547417,2000-2020,2000-06-15
06-16,485.3,598.2373836759953,372.3626163240048,711.1747673519905,259.42523264800957,2000-2020,2000-06-16
06-17,481.35,597.9777366125589,364.7222633874411,714.6054732251179,248.09452677488215,2000-2020,2000-06-17
06-18,486.45,604.6454113456098,368.2545886543902,722.8408226912195,250.05917730878048,2000-2020,2000-06-18
06-19,489.4,608.2171527578139,370.58284724218606,727.0343055156278,251.76569448437218,2000-2020,2000-06-19
06-20,489.85,608.9011942069683,370.7988057930318,727.9523884139364,251.74761158606358,2000-2020,2000-06-20
06-21,497.8,620.9061159710341,374.69388402896595,744.0122319420681,251.58776805793192,2000-2020,2000-06-21
06-22,507.85,626.1365721791562,389.5634278208438,744.4231443583125,271.2768556416876,2000-2020,2000-06-22
06-23,514.1,631.7255879788426,396.4744120211575,749.3511759576851,278.84882404231496,2000-2020,2000-06-23
06-24,514.65,645.2088292484918,384.0911707515082,775.7676584969836,253.53234150301637,2000-2020,2000-06-24
06-25,519.3,662.6582556872264,375.9417443127735,806.0165113744529,232.58348862554698,2000-2020,2000-06-25
06-26,522.05,667.1697237129615,376.93027628703834,812.2894474259232,231.81055257407672,2000-2020,2000-06-26
06-27,519.7,661.8867193443,377.51328065570004,804.0734386886,235.32656131140004,2000-2020,2000-06-27
06-28,521.9,662.1065769160859,381.69342308391407,802.3131538321718,241.48684616782816,2000-2020,2000-06-28
06-29,530.15,670.1839338574009,390.11606614259904,810.217867714802,250.08213228519804,2000-2020,2000-06-29
06-30,539.4,683.7137663492113,395.0862336507887,828.0275326984224,250.77246730157748,2000-2020,2000-06-30
07-01,539.1,682.0736449765996,396.12635502340044,825.0472899531992,253.15271004680085,2000-2020,2000-07-01
07-02,531.7,671.4852111747088,391.91478882529134,811.2704223494175,252.1295776505827,2000-2020,2000-07-02
07-03,526.05,664.299003041994,387.80099695800595,802.548006083988,249.551993916012,2000-2020,2000-07-03
07-04,523.15,661.3105759138333,384.98942408616665,799.4711518276666,246.82884817233332,2000-2020,2000-07-04
07-05,518.8,648.2659475651701,389.33405243482986,777.7318951303401,259.86810486965976,2000-2020,2000-07-05
07-06,509.5,628.6193563306634,390.3806436693365,747.738712661327,271.261287338673,2000-2020,2000-07-06
07-07,509.9,622.1548322720275,397.64516772797236,734.4096645440552,285.39033545594475,2000-2020,2000-07-07
07-08,502.1,614.6404722521496,389.5595277478505,727.1809445042991,277.01905549570097,2000-2020,2000-07-08
07-09,497.1,612.0805017795352,382.1194982204649,727.0610035590703,267.13899644092976,2000-2020,2000-07-09
07-10,494.2,609.5473472877283,378.8526527122717,724.8946945754565,263.5053054245435,2000-2020,2000-07-10
07-11,490.8,606.1906864799573,375.40931352004276,721.5813729599145,260.0186270400855,2000-2020,2000-07-11
07-12,486.05,600.7388123759704,371.3611876240297,715.4276247519407,256.6723752480593,2000-2020,2000-07-12
