"","genus","year","prop_of_total_obs"
"1","Amanita",2021,8.4798843652132
"2","Letharia",2021,1.8067935437244
"3","Fomitopsis",2021,3.10768489520597
"4","Amanita",2020,9.63421946831901
"5","Hypomyces",2021,1.22861960973259
"6","Hypomyces",2020,2.47851289226464
"7","Fomitopsis",2020,6.51609034579252
"8","Coprinus",2020,3.65780531680991
"9","Cladonia",2020,1.87887267639416
"10","Cladonia",2021,2.19224283305228
"11","Hydnellum",2021,0.337268128161889
"12","Cladonia",2019,1.19904076738609
"13","Coprinus",2021,6.16718862924597
"14","Coprinus",2019,5.13189448441247
"15","Lobaria",2021,3.51722476511684
"16","Peltigera",2021,3.3485907010359
"17","Lobaria",2020,4.19748151109334
"18","Hydnellum",2019,2.92565947242206
"19","Cortinarius",2020,1.29922046771937
"20","Cortinarius",2021,1.22861960973259
"21","Cortinarius",2019,2.25419664268585
"22","Peltigera",2020,1.89886068358985
"23","Peltigera",2019,2.30215827338129
"24","Lobaria",2019,2.58992805755396
"25","Amanita",2019,9.7841726618705
"26","Phaeolus",2020,2.07875274835099
"27","Phaeolus",2021,1.99951818838834
"28","Platismatia",2020,3.05816510093944
"29","Hypomyces",2019,2.87769784172662
"30","Phaeolus",2019,2.20623501199041
"31","Platismatia",2021,0.867260900987714
"32","Letharia",2019,4.55635491606715
"33","Platismatia",2019,0.719424460431655
"34","Hydnellum",2020,0.699580251848891
"35","Fomitopsis",2019,2.49400479616307
"36","Letharia",2020,3.81770937437537
