,sample_idB,id,year,date,hour,sample_id,X,burst_,x1_,x2_,y1_,y2_,sl_,direction_p,ta_,t1_,t2_,dt_,tod_end_,distance
1580,191 2020-06-25 day,191,2020,2020-06-25,17,191 2020-06-25 17,191 2020-06-25 day.1,2,443624.8388,443624.1204,5525526.081,5525526.088,0.718488781,3.131119815,NA,2020-06-25 8:28,2020-06-25 9:29,60.86666667,night,0.718488781
1581,191 2020-06-25 day,191,2020,2020-06-25,17,191 2020-06-25 17,191 2020-06-25 day.3,6,445696.4683,450251.997,5531299.022,5544435.677,13904.12051,1.236993034,NA,2020-06-25 15:04,2020-06-25 16:03,59.65,day,13904.12051
1582,191 2020-06-25 day,191,2020,2020-06-25,17,191 2020-06-25 17,191 2020-06-25 day.4,6,450251.997,450887.0166,5544435.677,5520969.527,23474.74116,-1.543741841,-2.780734875,2020-06-25 16:03,2020-06-25 17:03,59.75,day,23474.74116
1583,191 2020-06-25 day,191,2020,2020-06-25,17,191 2020-06-25 17,191 2020-06-25 day.5,6,450887.0166,442305.8579,5520969.527,5518631.662,8893.924616,-2.875606496,-1.331864655,2020-06-25 17:03,2020-06-25 18:02,59.33333333,day,8893.924616
1584,191 2020-06-25 day,191,2020,2020-06-25,17,191 2020-06-25 17,191 2020-06-25 day.2,2,443624.1204,443622.6951,5525526.088,5525527.215,1.816906692,2.472588947,-0.658530868,2020-06-25 9:29,2020-06-25 10:30,60.8,night,1.816906692
1585,191 2020-06-25 day,191,2020,2020-06-25,12,191 2020-06-25 12,191 2020-06-25 day.1,2,443624.8388,443624.1204,5525526.081,5525526.088,0.718488781,3.131119815,NA,2020-06-25 8:28,2020-06-25 9:29,60.86666667,night,0.718488781
1586,191 2020-06-25 day,191,2020,2020-06-25,12,191 2020-06-25 12,191 2020-06-25 day.3,6,445696.4683,450251.997,5531299.022,5544435.677,13904.12051,1.236993034,NA,2020-06-25 15:04,2020-06-25 16:03,59.65,day,13904.12051
1587,191 2020-06-25 day,191,2020,2020-06-25,12,191 2020-06-25 12,191 2020-06-25 day.4,6,450251.997,450887.0166,5544435.677,5520969.527,23474.74116,-1.543741841,-2.780734875,2020-06-25 16:03,2020-06-25 17:03,59.75,day,23474.74116
1588,191 2020-06-25 day,191,2020,2020-06-25,12,191 2020-06-25 12,191 2020-06-25 day.5,6,450887.0166,442305.8579,5520969.527,5518631.662,8893.924616,-2.875606496,-1.331864655,2020-06-25 17:03,2020-06-25 18:02,59.33333333,day,8893.924616
1589,191 2020-06-25 day,191,2020,2020-06-25,12,191 2020-06-25 12,191 2020-06-25 day.2,2,443624.1204,443622.6951,5525526.088,5525527.215,1.816906692,2.472588947,-0.658530868,2020-06-25 9:29,2020-06-25 10:30,60.8,night,1.816906692
1590,191 2020-06-25 day,191,2020,2020-06-25,8,191 2020-06-25 8,191 2020-06-25 day.1,2,443624.8388,443624.1204,5525526.081,5525526.088,0.718488781,3.131119815,NA,2020-06-25 8:28,2020-06-25 9:29,60.86666667,night,0.718488781
1591,191 2020-06-25 day,191,2020,2020-06-25,8,191 2020-06-25 8,191 2020-06-25 day.3,6,445696.4683,450251.997,5531299.022,5544435.677,13904.12051,1.236993034,NA,2020-06-25 15:04,2020-06-25 16:03,59.65,day,13904.12051
1592,191 2020-06-25 day,191,2020,2020-06-25,8,191 2020-06-25 8,191 2020-06-25 day.4,6,450251.997,450887.0166,5544435.677,5520969.527,23474.74116,-1.543741841,-2.780734875,2020-06-25 16:03,2020-06-25 17:03,59.75,day,23474.74116
1593,191 2020-06-25 day,191,2020,2020-06-25,8,191 2020-06-25 8,191 2020-06-25 day.5,6,450887.0166,442305.8579,5520969.527,5518631.662,8893.924616,-2.875606496,-1.331864655,2020-06-25 17:03,2020-06-25 18:02,59.33333333,day,8893.924616
1594,191 2020-06-25 day,191,2020,2020-06-25,8,191 2020-06-25 8,191 2020-06-25 day.2,2,443624.1204,443622.6951,5525526.088,5525527.215,1.816906692,2.472588947,-0.658530868,2020-06-25 9:29,2020-06-25 10:30,60.8,night,1.816906692
1595,191 2020-06-25 day,191,2020,2020-06-25,11,191 2020-06-25 11,191 2020-06-25 day.1,2,443624.8388,443624.1204,5525526.081,5525526.088,0.718488781,3.131119815,NA,2020-06-25 8:28,2020-06-25 9:29,60.86666667,night,0.718488781
