hive,Period,growth.rate,avg.avg.temp,avg.max.temp,Above.38
BC007,Pre,0.171178433,29.14178571,33.73571429,No
BC007,During,0.139843605,32.37801138,37.30952381,No
BC007,Post,0.07876776,30.37974286,35.06333333,No
CM001,Pre,0.452563065,23.22735238,32.27142857,Yes
CM001,During,0.221953036,31.14162811,39.94571429,Yes
CM001,Post,0.378847226,28.67197396,35.69384615,Yes
HSB00,Pre,0.182643342,25.75075948,33.12714286,No
HSB00,During,0.124509949,28.74914366,37.10214286,No
HSB00,Post,0.300859153,26.83768651,34.84928571,No
JL002,Pre,0.039519282,29.78823924,35.08380952,Yes
JL002,During,0.068263677,32.97891556,38.31142857,Yes
JL002,Post,0.013796415,31.62493506,36.91333333,Yes
JL003,Pre,0.192665063,29.84582158,34.92380952,No
JL003,During,0.093432274,32.74571477,37.04190476,No
JL003,Post,0.059766995,31.48251905,35.85428571,No
JL004,Pre,0.048768421,30.88934841,36.30285714,Yes
JL004,During,0.050994098,33.26507143,39.38857143,Yes
JL004,Post,0.044953444,31.80334127,37.69904762,Yes
KC005,Pre,0.115813846,21.285,29.78714286,Yes
KC005,During,0.237412098,31.50542114,39.37818182,Yes
KC005,Post,0.31833702,28.05094288,32.305,Yes
LSM00,Pre,0.374004979,27.7335337,34.21214286,Yes
LSM00,During,0.045735715,32.01148214,39.31428571,Yes
LSM00,Post,0.011317034,28.86597143,35.875,Yes
PA034,Pre,0.045910008,28.89894528,32.78285714,Yes
PA034,During,0.328086893,32.77914148,38.22666667,Yes
PA034,Post,0.301804025,29.9812887,33.89714286,Yes
PA036,Pre,0.111718069,29.14789278,37.34714286,Yes
PA036,During,0.328522615,33.4748577,41.88238095,Yes
PA036,Post,0.0612969,29.48889687,37.64714286,Yes
PA037,Pre,0.069483219,28.84245003,35.65714286,Yes
PA037,During,0.211070091,32.23043083,40.00190476,Yes
PA037,Post,0.379908955,29.82334291,36.54619048,Yes
PP001,Pre,0.058491957,28.59724594,35.62785714,Yes
PP001,During,0.130385852,32.3593765,39.49928571,Yes
PP001,Post,0.179772123,29.9093975,35.45214286,Yes
PP002,Pre,0.072423494,25.99096347,30.56142857,No
PP002,During,0.16745527,30.186022,35.24285714,No
PP002,Post,0.190682235,27.65966768,30.78785714,No
SG003,Pre,0.037824797,31.54077381,35.28666667,No
SG003,During,0.035947328,33.43134683,37.86047619,No
SG003,Post,0.030270863,31.5202246,35.61095238,No
SG004,Pre,0.016251523,30.65501349,36.84619048,Yes
SG004,During,0.029799328,32.74772302,39.83380952,Yes
SG004,Post,0.006761184,31.07607778,36.3247619,Yes
