site,date,boulder_id,fucus,fucus_cover,live_Myt,dead_Myt,angle_from_horizontal,compass_direction_rock,solar_elevation,solar_azimuth
Porteau_Cove,08-Jul-21,B1,absent,0,0,55,51,225,55.4,230.98
Porteau_Cove,08-Jul-21,B2,absent,0,5,29,25,69,55.4,230.98
Porteau_Cove,08-Jul-21,B3,absent,0,5,59,35,88,55.4,230.98
Porteau_Cove,08-Jul-21,B4,absent,0,10,53,28,57,55.4,230.98
Porteau_Cove,08-Jul-21,B5,absent,0,3,31,53,301,55.4,230.98
Porteau_Cove,08-Jul-21,B6a,absent,0,47,8,37,20,55.4,230.98
Porteau_Cove,08-Jul-21,B6b,absent,0,3,90,9,334,55.4,230.98
Porteau_Cove,08-Jul-21,B7,absent,0,2,53,18,246,55.4,230.98
Porteau_Cove,08-Jul-21,B8,absent,0,3,37,22,250,55.4,230.98
Porteau_Cove,08-Jul-21,B9,absent,0,2,90,8,210,55.4,230.98
Porteau_Cove,08-Jul-21,B1,present,0.96875,57,4,51,225,55.4,230.98
Porteau_Cove,08-Jul-21,B2,present,0.734375,55,8,25,69,55.4,230.98
Porteau_Cove,08-Jul-21,B3,present,0.953125,72,8,35,88,55.4,230.98
Porteau_Cove,08-Jul-21,B4,present,0.984375,69,2,28,57,55.4,230.98
Porteau_Cove,08-Jul-21,B5,present,0.984375,62,0,53,301,55.4,230.98
Porteau_Cove,08-Jul-21,B6a,present,1,84,1,37,20,55.4,230.98
Porteau_Cove,08-Jul-21,B6b,present,0.984375,124,6,9,334,55.4,230.98
Porteau_Cove,08-Jul-21,B7,present,0.953125,52,3,18,246,55.4,230.98
Porteau_Cove,08-Jul-21,B8,present,0.984375,66,2,22,250,55.4,230.98
Porteau_Cove,08-Jul-21,B9,present,0.96875,89,22,8,210,55.4,230.98
