location,date ,year,heatdome,count,commonname,pollution
bowker creek,3-Aug-21,2021,post,33,Caddisfly,intolerant
bowker creek,3-Aug-21,2021,post,0,Dobsonfly,intolerant
bowker creek,3-Aug-21,2021,post,0,Gilled Snail,intolerant
bowker creek,3-Aug-21,2021,post,0,Mayfly,intolerant
bowker creek,3-Aug-21,2021,post,0,Riffle Beetle,intolerant
bowker creek,3-Aug-21,2021,post,0,Stonefly,intolerant
bowker creek,3-Aug-21,2021,post,0,Water Penny,intolerant
bowker creek,3-Aug-21,2021,post,0,Alderfly larva,somewhat pollution tolerant
bowker creek,3-Aug-21,2021,post,0,Aquatic Beetle,somewhat pollution tolerant
bowker creek,3-Aug-21,2021,post,19,Aquatic Sowbug,somewhat pollution tolerant
bowker creek,3-Aug-21,2021,post,0,"Clam, Mussel",somewhat pollution tolerant
bowker creek,3-Aug-21,2021,post,0,Cranefly Larva,somewhat pollution tolerant
bowker creek,3-Aug-21,2021,post,1,Crayfish,somewhat pollution tolerant
bowker creek,3-Aug-21,2021,post,0,Damselfy Larva,somewhat pollution tolerant
bowker creek,3-Aug-21,2021,post,0,Dragonfly Larva,somewhat pollution tolerant
bowker creek,3-Aug-21,2021,post,0,Fishfly Larva,somewhat pollution tolerant
bowker creek,3-Aug-21,2021,post,49,Scud,somewhat pollution tolerant
bowker creek,3-Aug-21,2021,post,0,Watersnipe Larva,somewhat pollution tolerant
bowker creek,3-Aug-21,2021,post,39,Aquatic Worm,pollution tolerant
bowker creek,3-Aug-21,2021,post,2,Blackfly Larva,pollution tolerant
bowker creek,3-Aug-21,2021,post,11,Leech,pollution tolerant
bowker creek,3-Aug-21,2021,post,66,Midge Larva (chironomid),pollution tolerant
bowker creek,3-Aug-21,2021,post,2,Planarian,pollution tolerant
bowker creek,3-Aug-21,2021,post,4,Pouch Snail,pollution tolerant
bowker creek,3-Aug-21,2021,post,0,Truebug Adult,pollution tolerant
bowker creek,3-Aug-21,2021,post,5,Water Mite,pollution tolerant
bowker creek,20-Aug-20,2020,pre,0,Caddisfly,intolerant
bowker creek,20-Aug-20,2020,pre,0,Dobsonfly,intolerant
bowker creek,20-Aug-20,2020,pre,0,Gilled Snail,intolerant
bowker creek,20-Aug-20,2020,pre,0,Mayfly,intolerant
bowker creek,20-Aug-20,2020,pre,0,Riffle Beetle,intolerant
bowker creek,20-Aug-20,2020,pre,0,Stonefly,intolerant
bowker creek,20-Aug-20,2020,pre,0,Water Penny,intolerant
