Site,Lat,Lon,Count,Flags,Number_hours,count/hours,site_code,year_normal
Bamfield,48.8352,-125.1365,47,,2.2662,20.73956403,bcba,2021
Broughton Strait,50.5833,-127,48,,2.2069,21.74996602,bcbr,2021
Cortes Island,50.0754,-124.955,96,,3.84,25,bcci,2021
Comox,49.6726,-124.9287,1131,,10.2585,110.2500366,bcco,2021
Deep Bay,49.4657,-124.7362,727,,6.8103,106.7500697,bcdb,2021
Denny Island-Bella Bella,52.1377,-128.0714,112,,6.4,17.5,bcde,2021
Duncan,48.7882,-123.6714,116,,1.0227,113.4252469,bcdu,2021
Galiano-North Saltspring,48.9069,-123.4589,245,,1.0793,226.9989808,bcgs,2021
Hecate Strait,53.7829,-131.1669,440,,70.4,6.25,bche,2021
Kitimat,54.0592,-128.6777,2,,0.1212,16.50165017,bcki,2021
Ladner,49.0538,-123.0573,289,,1.4289,202.2534817,bcla,2021
Ladysmith,48.9754,-123.78,224,,4.1101,54.49989051,bclh,2021
Lasqueti Island,49.5169,-124.2781,16,,0.4267,37.49707054,bclq,2021
Greater Masset,54.0464,-132.1903,30,LC,0.8571,35.00175009,bcma,2021
Nanoose Bay,49.285,-124.1357,339,,5.4589,62.10042316,bcnb,2021
Nanaimo,49.1668,-123.9333,182,,0.9564,190.2969469,bcnn,2021
Port Alberni,49.2573,-124.814,15,LC,0.4842,30.97893432,bcpa,2021
Pender Islands,48.814,-123.1973,108,,0.6737,160.3087428,bcpi,2021
Powell River,49.8182,-124.4457,86,,1.5061,57.1011221,bcpo,2021
Parksville-Qualicum Beach,49.3458,-124.36,272,,1.5953,170.5008462,bcpq,2021
Rose Spit,54.0004,-131.6668,43,,6.6154,6.499984884,bcrs,2021
Sunshine Coast,49.4668,-123.6167,195,,3.4211,56.99921078,bcsc,2021
Skidegate Inlet,53.2112,-131.9876,25,,0.7874,31.7500635,bcsi,2021
Sooke,48.3442,-123.6719,145,,1.1232,129.0954416,bcso,2021
Sidney-South Saltspring,48.6956,-123.4278,530,,2.9944,176.9970612,bcss,2021
Tlell,53.5636,-131.9423,23,,1.6429,13.99963479,bctl,2021
Vancouver,49.2603,-123.105,951,,3.9625,240,bcva,2021
Victoria,48.4667,-123.4,157,,0.3264,481.004902,bcvi,2021
White Rock-Surrey-Langley,49.062,-122.7289,504,,2.6861,187.6326272,bcwr,2021
