,Treehole.Number,Order,Family,Sub.family,Genus,species,status,size,abundance
1,1,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.A,alive,unknown,2
2,1,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.B,alive,unknown,0
3,1,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides?,Ceratopogonid.C,alive,unknown,0
4,1,Diptera,Ceratopogonidae,NA,NA,Pupa.A,alive,5,0
5,1,Diptera,Ceratopogonidae,NA,NA,Pupa.B,alive,5,0
6,1,Diptera,Ceratopogonidae,NA,NA,Pupa.C,alive,5,9
7,1,Diptera,Ceratopogonidae,NA,NA,Pupa.D,alive,5,0
8,1,Diptera,Psychodidae,NA,NA,Psychodid.A,dead,medium,3
9,1,Diptera,Psychodidae,NA,NA,Psychodid.B,dead,medium,0
10,1,Diptera,Psychodidae,NA,NA,Psychodid.C,dead,medium,0
11,1,Diptera,Psychodidae,NA,NA,Psychodid.D,dead,medium,0
12,1,Diptera,Psychodidae,NA,NA,Psychodid.A,alive,large,2
13,1,Diptera,Psychodidae,NA,NA,Psychodid.B,alive,large,0
14,1,Diptera,Psychodidae,NA,NA,Psychodid.C,alive,large,0
15,1,Diptera,Psychodidae,NA,NA,Psychodid.D,alive,large,0
16,1,Diptera,Psychodidae,NA,NA,Psychodid.A,alive,large,7
17,1,Diptera,Psychodidae,NA,NA,Psychodid.B,alive,large,0
18,1,Diptera,Psychodidae,NA,NA,Psychodid.C,alive,large,0
19,1,Diptera,Psychodidae,NA,NA,Psychodid.D,alive,large,0
20,1,Diptera,Psychodidae,NA,NA,Psychodid.A,alive,medium,27
21,1,Diptera,Psychodidae,NA,NA,Psychodid.B,alive,medium,0
22,1,Diptera,Psychodidae,NA,NA,Psychodid.C,alive,medium,0
23,1,Diptera,Psychodidae,NA,NA,Psychodid.D,alive,medium,2
24,1,Diptera,Psychodidae,NA,NA,Psychodid.A,alive,small,11
25,1,Diptera,Psychodidae,NA,NA,Psychodid.B,alive,small,0
26,1,Diptera,Psychodidae,NA,NA,Psychodid.C,alive,small,0
27,1,Diptera,Psychodidae,NA,NA,Psychodid.D,alive,small,1
28,1,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
29,1,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
30,1,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,11,1
31,1,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
32,1,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,10,1
33,1,Diptera,Syrphida,NA,Eristalis,Syrphid.A,alive,11,1
