Entry number,Habitat,Treehole Number,Morphospecies,Size (mm),Amount ,
478,G,001G,Chironomid,7,1,
479,G,001G,Chironomid,9,1,
473,G,001G,Chironomid,2,4,
477,G,001G,Chironomid,6,6,
476,G,001G,Chironomid,5,18,
475,G,001G,Chironomid,4,28,
474,G,001G,Chironomid,3,38,
,,001G,Polypedilum,,387,
683,T,001T,Syrphid ,15,2,
682,T,001T,Chironomid Sp. A,3,4,
681,T,001T,Ceratopogonid Sp. A,4,38,
652,G,002G,Orthocladiinae Sp.A,3,1,
647,G,002G,Polypedilum Sp.A,11,2,
651,G,002G,Pupas,4,2,
648,G,002G,Polypedilum Sp.A,6,3,
650,G,002G,Ceratopogonid Sp.A,6,3,
646,G,002G,Polypedilum Sp.A,10,4,
649,G,002G,Ceratopogonid Sp.A,5,7,
,,002G,Polypedilum cf. sp.A,,50,
,,002G,Polypedilum Sp.A,,127,
899,T,002T,Pupae Hairy ,7,1,
898,T,002T,Polypedilum,Small,29,
897,T,002T,Polypedilum,Big,40,
108,G,003G,Cecidomid Sp.A,3,3,
110,G,003G,Cecidomid Sp.A,5,4,
109,G,003G,Cecidomid Sp.A,4,7,
883,T,003T,Pupae Orange,2,3,
884,T,003T,Pupae Black,3,4,
877,T,003T,Chironomid A ,2,5,
885,T,003T,Pupae White,4,5,
881,T,003T,Chironomid A ,6,20,
878,T,003T,Chironomid A ,3,33,
880,T,003T,Chironomid A ,5,74,
879,T,003T,Chironomid A ,4,100,
895,G,004G,Dead,Dead,6,
199,,004G,Polypedilum,,130,
,,004T,Chironomid A ,,123,
,,005G,Polypedilum,,122,
639,T,005T,Unknown,3,1,
632,T,005T,Syrphid,11,3,
636,T,005T,Ceratopogonid,2,6,
635,T,005T,Pupas,4,7,
633,T,005T,Syrphid,13,9,
634,T,005T,Syrphid,14,9,
637,T,005T,Ceratopogonid,3,16,
638,T,005T,Ceratopogonid,4,67,
,,006G,Dead,Dead,1,
,,006G,Polypedilum,,24,
87,T,006T,Syrphid,16,1,
85,T,006T,Ceratopogonid Sp.B,2,2,
86,T,006T,Dead,Dead,3,
89,T,006T,mosquito,,22,
88,T,006T,Pupas,,29,
,,006T,Ceratopogonid Sp.A,,221,
829,G,007G,Polypedilum cf.,2,3,
833,G,007G,Polypedilum cf.,6,4,
841,G,007G,Dead,Dead,4,
830,G,007G,Polypedilum cf.,3,5,
840,G,007G,Polypedilum,7,6,
831,G,007G,Polypedilum cf.,4,7,
834,G,007G,Polypedilum,1,7,
832,G,007G,Polypedilum cf.,5,10,
839,G,007G,Polypedilum,6,26,
838,G,007G,Polypedilum,5,42,
835,G,007G,Polypedilum,2,51,
836,G,007G,Polypedilum,3,74,
837,G,007G,Polypedilum,4,92,
490,T,007T,Cecidomid,4,1,
491,T,007T,Pupas,4,1,
493,T,007T,Ceratopogonid,2,1,
496,T,007T,Ceratopogonid,7,1,
492,T,007T,Ceratopogonid,1,2,
494,T,007T,Ceratopogonid,5,4,
495,T,007T,Ceratopogonid,6,5,
812,G,008G,Chironomid A ,5,13,
810,G,008G,Chironomid A ,3,14,
809,G,008G,Chironomid A ,2,22,
811,G,008G,Chironomid A ,4,66,
806,T,008T,Pupae ,2,2,
802,T,008T,Chironomid A ,2,3,
803,T,008T,Chironomid A ,3,3,
804,T,008T,Chironomid A ,4,6,
805,T,008T,Chironomid A ,5,6,
