station,june_ratio,aug_ratio,cat0.0005g0.20s,cat0.0005g0.25s,glacier_prop,glacier_Area,temp_change,snow20,snow40,ice20,ice40,air_anom_mean,air_anom_max,surface_anom_mean,surface_anom_max,quality
05AD003,0.6818735676967562,0.6971823758914711,"glacier, low snow","glacier, low snow",0.00558964943385906,3424647.555,6.540000915527344,0.03798990141861024,0.011300793459966338,0.4090909090909091,0.2727272727272727,8.967957496643066,12.389208793640137,7.869135856628418,12.421635627746582,0.25
05AD005,0.6541187924397023,0.7310030020546685,"glacier, low snow","glacier, low snow",0.014808509312409693,4727313.227,6.649999618530273,0.04413731609451627,0.008916629514043692,0.3448275862068966,0.20689655172413793,8.809268951416016,12.353017807006836,5.899399280548096,9.41189956665039,1
05AD007,0.14927949143969751,0.7147013455255905,"no glacier, low snow","no glacier, low snow",0.00114159096095964,19459082.783,4.939998626708984,0.004895139648146307,0.0014826226683894907,0.5128205128205128,0.37606837606837606,9.457926750183105,12.875425338745117,10.699406623840332,15.629406929016113,0.25
05AD041,0.09677882633808715,0.4002551002965054,"glacier, low snow","glacier, low snow",0.007239528516480406,4727313.227,6.500001907348633,0.021489038419795964,0.004341219882787063,0.3448275862068966,0.20689655172413793,8.887348175048828,12.913599014282227,7.871528148651123,12.3140287399292,1
05AE006,0.13565563052930996,0.901157848583482,"no glacier, low snow","no glacier, low snow",0.0032057091614960567,11307122.001,5.969999313354492,0.011177953011950247,0.004430534102918462,0.6212121212121212,0.48484848484848486,9.504969596862793,13.601219177246094,10.555066108703613,17.807565689086914,1
05AG006,0.1800213789212705,0.7237673012417933,"no glacier, low snow","no glacier, low snow",7.067974434819749e-4,19459082.783,5.209999084472656,0.0030123552438427663,9.12371554395694e-4,0.5128205128205128,0.37606837606837606,9.357834815979004,12.741585731506348,12.020720481872559,17.038219451904297,1
05AJ001,0.28637196535086396,0.5038491758230401,"no glacier, low snow","no glacier, low snow",0.0013815052071141653,77873556.3,6.229999542236328,0.010932512287385772,0.004917415477306792,0.8833034111310593,0.8078994614003591,9.433201789855957,13.885701179504395,8.109577178955078,14.599577903747559,0.25
05BA001,1.844941000200034,0.9623112474757977,"glacier, high snow","glacier, low snow",0.06592010023578411,27846853.514,11.919998168945313,0.3760627861347286,0.2446043165467626,1,0.9906542056074766,15.219816207885742,19.937314987182617,11.232802391052246,15.127802848815918,1
05BA002,1.3767815966875763,0.868804426678842,"glacier, low snow","glacier, low snow",0.018554224221474,5679885.916,11.869998931884766,0.26608695652173914,0.12,1,0.95,15.173688888549805,19.881187438964844,10.817971229553223,14.497971534729004,1
05BB001,1.5176732222649219,0.9190380235653328,"glacier, low snow","glacier, low snow",0.01982306625396515,43800923.009,9.930002212524414,0.1756996754240921,0.09216730969440871,0.9880239520958084,0.9610778443113772,13.602195739746094,17.743446350097656,9.7598114013671875,13.594097137451172,1
05BC001,0.8102329657766835,0.7388303452356564,"glacier, low snow","glacier, low snow",0.005717760625658238,4291535.156,9.840002059936523,0.05767459001289847,0.019163442049014188,0.96875,0.875,13.527652740478516,17.65265464782715,11.557867050170898,14.863581657409668,1
05BH004,1.0620069989947205,0.8958439786072497,"glacier, low snow","glacier, low snow",0.007424130637249209,58414473.516,5.279998779296875,0.06659628597635901,0.031480936640071996,0.9818181818181818,0.9227272727272727,11.301342010498047,14.842591285705566,6.940305233001709,13.212804794311523,0.25
05BM002,0.6328465201067772,0.5972351343208153,"no glacier, low snow","no glacier, low snow",0.0037290832680836675,58414473.516,4.569999694824219,0.03349103369105804,0.01581931713425982,0.9818181818181818,0.9227272727272727,10.816646575927734,14.161645889282227,9.697705268859863,14.132704734802246,1
05BM004,0.35539855394732334,0.36412852910979976,"no glacier, low snow","no glacier, low snow",0.002884249363087638,58414473.516,4.630001068115234,0.02592340780731456,0.012244788055441493,0.9818181818181818,0.9227272727272727,10.039725303649902,13.508477210998535,11.128576278686523,15.213576316833496,1
05BN012,0.3524796413180174,0.38956594097087244,"no glacier, low snow","no glacier, low snow",0.002310881316280139,58414473.516,5.3000030517578125,0.020866182263474156,0.009856033637304465,0.9818181818181818,0.9227272727272727,9.401432991027832,13.135185241699219,11.732431411743164,19.007431030273438,0.25
05CA004,1.1773462903674428,0.7185501285319121,"glacier, low snow","glacier, low snow",0.01778510908541668,16742294.724,9.540000915527344,0.05880681818181818,0.03792613636363636,0.9921259842519685,0.937007874015748,14.125762939453125,17.954513549804688,10.821431159973145,15.230002403259277,1
05CA009,0.9225613771550691,0.8295583643586938,"glacier, low snow","glacier, low snow",0.007455258561644464,16742294.724,7.64000129699707,0.024989562831752847,0.015924136697083556,0.9921259842519685,0.937007874015748,12.167622566223145,16.05512237548828,7.804821968078613,13.712322235107422,1
05CC002,0.5124469791090387,0.5761025798289869,"no glacier, low snow","no glacier, low snow",0.0014422016891515563,16742294.724,4.849998474121094,0.004818972259281409,0.0030708009384919723,0.9921259842519685,0.937007874015748,10.015701293945312,13.008199691772461,6.658198356628418,10.723197937011719,0.25
05CE001,0.49346646218134294,0.5108529211696844,"no glacier, low snow","no glacier, low snow",6.733190871822562e-4,16742294.724,4.840000152587891,0.002340295038574518,0.001436456954711256,0.9921259842519685,0.937007874015748,10.488323211669922,14.258321762084961,9.616438865661621,15.222153663635254,1
05CK004,0.4016220513950071,0.47837526073455167,"no glacier, low snow","no glacier, low snow",3.498951818951447e-4,16742294.724,5.3300018310546875,0.0012327610470025331,7.5147762454264e-4,0.9921259842519685,0.937007874015748,9.448080062866211,13.874330520629883,10.196616172790527,16.761615753173828,0.25
05DA007,1.9858613726742758,0.9839585300015052,"glacier, high snow","glacier, high snow",0.09031018331423975,22400903.085,12.310001373291016,0.40765027322404374,0.26939890710382514,1,0.967741935483871,15.993049621582031,20.830549240112305,10.49047565460205,15.747976303100586,1
05DA009,2.0357467854884006,1.0815909927324254,"glacier, high snow","glacier, high snow",0.12540703486025093,241184489.974,10.429998397827148,0.40985768830267266,0.3021867407150295,0.9899888765294772,0.9710789766407119,14.140823364257812,18.73457145690918,9.769916534423828,14.007416725158691,1
05DB006,0.9263359642770368,0.7404579582998212,"no glacier, low snow","no glacier, low snow",0.0039881958579370816,8984440.616,5.920000076293945,0.019167256428402925,0.009200283085633405,0.9701492537313433,0.9552238805970149,10.884116172790527,14.065366744995117,6.1364426612854,9.658943176269531,1
05DC001,0.7561544260332864,1.3388988815327563,"glacier, low snow","glacier, low snow",0.024592412284063756,270682547.581,6.060001373291016,0.0996232884982251,0.06548984569317332,0.9895936570862239,0.964816650148662,10.89914608001709,13.974146842956543,7.626413345336914,10.681413650512695,1
05DD007,1.2893904971390144,0.8673166067730954,"glacier, low snow","glacier, low snow",0.007734173477608488,20120386.82,9.64000129699707,0.07117312245000755,0.030423613559663526,0.9751552795031055,0.8819875776397516,14.096096992492676,18.491098403930664,9.79141616821289,15.79891586303711,1
05DF001,0.5947319989048764,1.0277381317633851,"glacier, low snow","glacier, low snow",0.01035032370564264,290802934.304,7.009998321533203,0.045389997797284566,0.028250997080230395,0.9885268471776044,0.9586966498393759,10.932012557983398,14.518260955810547,8.234416961669922,13.056916236877441,0.25
07AA001,1.5874625706054757,0.7227264214629007,"no glacier, low snow","no glacier, low snow",0.0047892788914721185,3010165.425,10.909997940063477,0.20990712074303405,0.10402476780185758,1,0.95,14.102072715759277,18.513320922851563,11.979462623596191,15.922319412231445,0.25
