year,Date,fire_med_high
2020,2020-05-01,291
2020,2020-05-09,415
2020,2020-05-17,367
2020,2020-05-25,269
2020,2020-06-02,56
2020,2020-06-10,64
2020,2020-06-18,121
2020,2020-06-26,93
2020,2020-07-04,52
2020,2020-07-12,47
2020,2020-07-20,470
2020,2020-07-28,522
2020,2020-08-05,199
2020,2020-08-13,871
2020,2020-08-21,1317
2020,2020-08-29,1102
2020,2020-09-06,6589
2020,2020-09-14,1937
2020,2020-09-22,637
2020,2020-09-30,871
2019,2019-05-01,363
2019,2019-05-09,412
2019,2019-05-17,2193
2019,2019-05-25,6056
2019,2019-06-02,512
2019,2019-06-10,1273
2019,2019-06-18,298
2019,2019-06-26,62
2019,2019-07-04,148
2019,2019-07-12,557
2019,2019-07-20,1745
2019,2019-07-28,412
2019,2019-08-05,438
2019,2019-08-13,220
2019,2019-08-21,171
2019,2019-08-29,325
2019,2019-09-06,456
2019,2019-09-14,387
2019,2019-09-22,736
2019,2019-09-30,625
2018,2018-05-01,555
2018,2018-05-09,608
2018,2018-05-17,946
2018,2018-05-25,584
2018,2018-06-02,102
2018,2018-06-10,60
2018,2018-06-18,1246
2018,2018-06-26,178
2018,2018-07-04,503
2018,2018-07-12,548
2018,2018-07-20,1400
2018,2018-07-28,3150
2018,2018-08-05,7355
2018,2018-08-13,9813
2018,2018-08-21,7685
2018,2018-08-29,1240
2018,2018-09-06,1055
2018,2018-09-14,268
2018,2018-09-22,526
2018,2018-09-30,247
2017,2017-05-01,557
2017,2017-05-09,456
2017,2017-05-17,836
2017,2017-05-25,815
2017,2017-06-02,431
2017,2017-06-10,65
2017,2017-06-18,247
2017,2017-06-26,449
2017,2017-07-04,2435
2017,2017-07-12,3566
2017,2017-07-20,1566
2017,2017-07-28,5870
2017,2017-08-05,6528
2017,2017-08-13,4397
2017,2017-08-21,2767
2017,2017-08-29,10437
2017,2017-09-06,6254
2017,2017-09-14,631
2017,2017-09-22,623
2017,2017-09-30,877
2016,2016-05-01,2356
2016,2016-05-09,1201
2016,2016-05-17,2687
2016,2016-05-25,851
2016,2016-06-02,247
2016,2016-06-10,106
2016,2016-06-18,464
2016,2016-06-26,1069
2016,2016-07-04,496
2016,2016-07-12,654
2016,2016-07-20,528
2016,2016-07-28,1170
2016,2016-08-05,623
2016,2016-08-13,658
2016,2016-08-21,847
2016,2016-08-29,617
2016,2016-09-06,309
2016,2016-09-14,328
2016,2016-09-22,448
2016,2016-09-30,364
2015,2015-05-01,449
2015,2015-05-09,1036
2015,2015-05-17,1563
2015,2015-05-25,1817
2015,2015-06-02,2664
2015,2015-06-10,339
2015,2015-06-18,1266
2015,2015-06-26,15493
2015,2015-07-04,8952
2015,2015-07-12,1798
2015,2015-07-20,399
2015,2015-07-28,834
2015,2015-08-05,1781
2015,2015-08-13,5917
2015,2015-08-21,6352
2015,2015-08-29,1137
2015,2015-09-06,356
2015,2015-09-14,178
2015,2015-09-22,380
2015,2015-09-30,415
2014,2014-05-01,168
2014,2014-05-09,641
2014,2014-05-17,467
2014,2014-05-25,310
2014,2014-06-02,339
2014,2014-06-10,488
2014,2014-06-18,828
2014,2014-06-26,1133
2014,2014-07-04,1106
2014,2014-07-12,6136
2014,2014-07-20,1343
2014,2014-07-28,4240
2014,2014-08-05,4982
2014,2014-08-13,3609
2014,2014-08-21,1691
2014,2014-08-29,380
2014,2014-09-06,708
2014,2014-09-14,1082
2014,2014-09-22,619
2014,2014-09-30,382
2013,2013-05-01,592
2013,2013-05-09,271
2013,2013-05-17,325
2013,2013-05-25,125
2013,2013-06-02,389
2013,2013-06-10,176
2013,2013-06-18,490
2013,2013-06-26,1927
2013,2013-07-04,1684
2013,2013-07-12,429
2013,2013-07-20,1917
2013,2013-07-28,1477
2013,2013-08-05,3391
2013,2013-08-13,2313
2013,2013-08-21,916
2013,2013-08-29,358
2013,2013-09-06,1043
2013,2013-09-14,473
2013,2013-09-22,256
2013,2013-09-30,478
2012,2012-05-01,89
2012,2012-05-09,801
2012,2012-05-17,173
2012,2012-05-25,572
2012,2012-06-02,954
2012,2012-06-10,111
2012,2012-06-18,275
2012,2012-06-26,113
2012,2012-07-04,3245
2012,2012-07-12,6069
2012,2012-07-20,1200
2012,2012-07-28,1114
2012,2012-08-05,2182
2012,2012-08-13,3630
2012,2012-08-21,2933
2012,2012-08-29,2067
2012,2012-09-06,2446
2012,2012-09-14,2385
2012,2012-09-22,2098
2012,2012-09-30,1090
2011,2011-05-01,302
2011,2011-05-09,2315
2011,2011-05-17,1761
2011,2011-05-25,1504
2011,2011-06-02,2023
2011,2011-06-10,1244
2011,2011-06-18,737
2011,2011-06-26,1306
2011,2011-07-04,380
2011,2011-07-12,187
2011,2011-07-20,55
2011,2011-07-28,147
2011,2011-08-05,332
2011,2011-08-13,476
2011,2011-08-21,866
2011,2011-08-29,713
2011,2011-09-06,1125
2011,2011-09-14,225
2011,2011-09-22,771
2011,2011-09-30,755
2010,2010-05-01,86
2010,2010-05-09,817
2010,2010-05-17,659
2010,2010-05-25,96
2010,2010-06-02,251
2010,2010-06-10,917
2010,2010-06-18,3235
2010,2010-06-26,1785
2010,2010-07-04,696
2010,2010-07-12,1954
2010,2010-07-20,1974
2010,2010-07-28,3407
2010,2010-08-05,1371
2010,2010-08-13,3749
2010,2010-08-21,580
2010,2010-08-29,73
2010,2010-09-06,82
2010,2010-09-14,178
2010,2010-09-22,494
2010,2010-09-30,785
2009,2009-05-01,503
2009,2009-05-09,315
2009,2009-05-17,400
2009,2009-05-25,343
2009,2009-06-02,531
2009,2009-06-10,710
2009,2009-06-18,141
2009,2009-06-26,44
2009,2009-07-04,72
2009,2009-07-12,132
2009,2009-07-20,386
2009,2009-07-28,2258
2009,2009-08-05,1264
2009,2009-08-13,369
2009,2009-08-21,1521
2009,2009-08-29,927
2009,2009-09-06,349
2009,2009-09-14,630
2009,2009-09-22,1424
2009,2009-09-30,312
2008,2008-05-01,556
2008,2008-05-09,531
2008,2008-05-17,431
2008,2008-05-25,465
2008,2008-06-02,646
2008,2008-06-10,724
2008,2008-06-18,744
2008,2008-06-26,2967
2008,2008-07-04,1209
2008,2008-07-12,812
2008,2008-07-20,1098
2008,2008-07-28,1042
2008,2008-08-05,754
2008,2008-08-13,1131
2008,2008-08-21,125
2008,2008-08-29,178
2008,2008-09-06,390
2008,2008-09-14,650
2008,2008-09-22,440
2008,2008-09-30,877
2007,2007-05-01,406
2007,2007-05-09,495
2007,2007-05-17,306
2007,2007-05-25,457
2007,2007-06-02,854
2007,2007-06-10,765
2007,2007-06-18,317
2007,2007-06-26,656
2007,2007-07-04,1313
2007,2007-07-12,2566
2007,2007-07-20,2518
2007,2007-07-28,3203
2007,2007-08-05,1830
2007,2007-08-13,3755
2007,2007-08-21,641
2007,2007-08-29,1475
2007,2007-09-06,1343
2007,2007-09-14,559
2007,2007-09-22,404
2007,2007-09-30,340
2006,2006-05-01,502
2006,2006-05-09,618
2006,2006-05-17,337
2006,2006-05-25,52
2006,2006-06-02,411
2006,2006-06-10,408
2006,2006-06-18,2319
2006,2006-06-26,4404
2006,2006-07-04,3368
2006,2006-07-12,287
2006,2006-07-20,1435
2006,2006-07-28,1745
